idautor,nomautor ,paisautor,fecnacautor,emailautor,idiomaautor
A059,Juan Gabriel Vásquez,Japón,1970-07-11,brian07@yahoo.com,Japonés
A060,Annie Ernaux,Japón,1963-11-08,nunezedward@yahoo.com,Japonés
A061,Ahmed Saadawi,Argentina,1982-03-29,dhughes@ruiz.com,Español
A062,Jenny Erpenbeck,Noruega,1956-06-21,daniel85@reyes.com,Noruego
A063,Antonio Muñoz Molina,Suecia,1958-05-11,debra94@gmail.com,Sueco
A064,Laurent Binet,Canadá,1980-08-22,stonekristen@gmail.com,Inglés
A065,Gabriela Ybarra,India,1956-11-11,mwatson@yahoo.com,Hindi
A066,Christoph Ransmayr,Australia,1978-07-12,wintersbill@santana-duffy.org,Inglés
A067,Javier Cercas,India,1993-03-05,claytonweiss@chan.com,Hindi
A068,Wu Ming-Yi,Canadá,1961-12-25,bsnow@walls.com,Inglés
A069,Han Kang,Australia,1961-01-05,jessicajohnson@yahoo.com,Inglés
A070,László Krasznahorkai,Argentina,1983-08-07,crawfordmichelle@yahoo.com,Español
A071,Virginie Despentes,Australia,1971-06-15,chad50@bailey-smith.com,Inglés
A072,Ariana Harwicz,Italia,1979-02-27,jaredharris@dennis.com,Italiano
