26;Bora Chung;Argentina;9/04/1963;pgoodman@gmail.com;Español
27;Éric Vuillard;Suecia;14/05/1954;ernest37@page-nunez.biz;Sueco
28;Benajamín Labatut;Australia;30/05/1956;tbarton@gmail.com;Inglés
29;Andrzej Tichy;Canadá;15/07/1965;greeneric@hotmail.com;Inglés
30;Judith Schalansky;Reino Unido;4/06/1987;simpsonlarry@williams-carson.biz;Inglés
31;David Diop;España;21/01/1967;valeriemorales@butler.com;Español
32;Can Xue;Argentina;1/04/2000;davidbanks@ramirez-good.com;Español
33;Maria Stepanova;Turquía;18/08/1986;johnsonrobin@gmail.com;Turco
34;Adania Shibli;Italia;20/09/1971;darin24@williams.com;Italiano
35;Jaap Robben;Australia;5/04/1992;sheena09@hotmail.com;Inglés
36;Mariana Enríquez;Suecia;30/11/1987;iwatson@gmail.com;Sueco
37;Olga Ravn;Egipto;28/05/1968;alan24@yahoo.com;Árabe
38;Nana Ekvtimishvili;Noruega;25/03/1977;morganchristine@gmail.com;Noruego
39;Ng?g? wa Thiong'o;Rusia;11/08/1972;tinaroberts@hays-anderson.com;Ruso
40;Gabriela Cabezón Cámara;Francia;18/10/1986;parkermelody@jones.biz;Francés
41;Marieke Lucas Rijneveld;Australia;28/08/1961;zwells@martinez-wilson.info;Inglés
42;Nino Haratischvili;México;16/04/1983;matthew22@cunningham.com;Español
43;Shokoofeh Azar;Japón;29/09/1958;karabrown@garcia.net;Japonés
44;Y?ko Ogawa;Estados Unidos;26/12/1973;tkramer@hotmail.com;Inglés
45;Daniel Kehlmann;México;17/01/1969;richardsonvanessa@yahoo.com;Español
46;Emmanuelle Pagano;Turquía;1/02/1994;hlee@short.com;Turco
47;Samanta Schweblin;Suecia;17/01/1990;davidsanders@gmail.com;Sueco
48;Enrique Vila-Matas;Argentina;19/11/1997;cindygarcia@gray-payne.com;Español
49;Willem Anker;China;23/05/1961;annelittle@yahoo.com;Chino
50;Michel Houellebecq;Argentina;25/09/1989;martha73@hotmail.com;Español
51;Hwang Sok-yong;Japón;4/10/1995;petersonsydney@meyers-johnson.com;Japonés
52;Jokha Alharthi;Italia;29/09/1971;taguilar@roman.com;Italiano
53;Hubert Mingarelli;Corea del Sur;12/10/1958;billysmith@rivera-martin.com;Coreano
54;Mazen Maarouf;China;29/11/1998;william88@gmail.com;Chino
55;Tommy Wieringa;China;25/04/1993;burgessrebecca@roberts.biz;Chino
56;Sara Stridsberg;Alemania;29/01/1987;melissayates@hotmail.com;Alemán
57;Marion Poschmann;Australia;12/04/1954;william45@snyder.com;Inglés
58;Alia Trabucco Zerán;Egipto;12/01/1982;pbrown@gmail.com;Árabe
59;Juan Gabriel Vásquez;Japón;11/07/1970;brian07@yahoo.com;Japonés
60;Annie Ernaux;Japón;8/11/1963;nunezedward@yahoo.com;Japonés
61;Ahmed Saadawi;Argentina;29/03/1982;dhughes@ruiz.com;Español
62;Jenny Erpenbeck;Noruega;21/06/1956;daniel85@reyes.com;Noruego
63;Antonio Muñoz Molina;Suecia;11/05/1958;debra94@gmail.com;Sueco
64;Laurent Binet;Canadá;22/08/1980;stonekristen@gmail.com;Inglés
65;Gabriela Ybarra;India;11/11/1956;mwatson@yahoo.com;Hindi
66;Christoph Ransmayr;Australia;12/07/1978;wintersbill@santana-duffy.org;Inglés
67;Javier Cercas;India;5/03/1993;claytonweiss@chan.com;Hindi
68;Wu Ming-Yi;Canadá;25/12/1961;bsnow@walls.com;Inglés
69;Han Kang;Australia;5/01/1961;jessicajohnson@yahoo.com;Inglés
70;László Krasznahorkai;Argentina;7/08/1983;crawfordmichelle@yahoo.com;Español
71;Virginie Despentes;Australia;15/06/1971;chad50@bailey-smith.com;Inglés
72;Ariana Harwicz;Italia;27/02/1979;jaredharris@dennis.com;Italiano
